264:	test: 0.8037113	best: 0.8037113 (264)	total: 6.9s	remaining: 19.1s
265:	test: 0.8036972	best: 0.8037113 (264)	total: 6.93s	remaining: 19.1s
266:	test: 0.8037020	best: 0.8037113 (264)	total: 6.95s	remaining: 19.1s
267:	test: 0.8037043	best: 0.8037113 (264)	total: 6.98s	remaining: 19.1s
268:	test: 0.8037089	best: 0.8037113 (264)	total: 7s	remaining: 19s
269:	test: 0.8037081	best: 0.8037113 (264)	total: 7.04s	remaining: 19s
270:	test: 0.8037150	best: 0.8037150 (270)	total: 7.06s	remaining: 19s
271:	test: 0.8037306	best: 0.8037306 (271)	total: 7.09s	remaining: 19s
272:	test: 0.8037457	best: 0.8037457 (272)	total: 7.12s	remaining: 19s
273:	test: 0.8037279	best: 0.8037457 (272)	total: 7.14s	remaining: 18.9s
274:	test: 0.8037194	best: 0.8037457 (272)	total: 7.17s	remaining: 18.9s
275:	test: 0.8037161	best: 0.8037457 (272)	total: 7.19s	remaining: 18.9s
276:	test: 0.8037103	best: 0.8037457 (272)	total: 7.21s	remaining: 18.8s
277:	test: 0.8037008	best: 0.8037457 (272)	total: 7.24s	remaining: 18.8s
278:	test: 0.8036921	best: 0.8037457 (272)	total: 7.27s	remaining: 18.8s
279:	test: 0.8036911	best: 0.8037457 (272)	total: 7.29s	remaining: 18.8s
280:	test: 0.8036764	best: 0.8037457 (272)	total: 7.32s	remaining: 18.7s
281:	test: 0.8036758	best: 0.8037457 (272)	total: 7.36s	remaining: 18.7s
282:	test: 0.8036703	best: 0.8037457 (272)	total: 7.38s	remaining: 18.7s
[34m[1mwandb[39m[22m: Adding directory to artifact (./artifacts)... Done. 0.0s
283:	test: 0.8036866	best: 0.8037457 (272)	total: 7.41s	remaining: 18.7s
284:	test: 0.8036829	best: 0.8037457 (272)	total: 7.43s	remaining: 18.6s
285:	test: 0.8036829	best: 0.8037457 (272)	total: 7.45s	remaining: 18.6s
286:	test: 0.8037015	best: 0.8037457 (272)	total: 7.48s	remaining: 18.6s
287:	test: 0.8037018	best: 0.8037457 (272)	total: 7.5s	remaining: 18.5s
288:	test: 0.8037339	best: 0.8037457 (272)	total: 7.53s	remaining: 18.5s
289:	test: 0.8037385	best: 0.8037457 (272)	total: 7.55s	remaining: 18.5s
290:	test: 0.8037442	best: 0.8037457 (272)	total: 7.58s	remaining: 18.5s
291:	test: 0.8037413	best: 0.8037457 (272)	total: 7.61s	remaining: 18.5s
292:	test: 0.8037392	best: 0.8037457 (272)	total: 7.64s	remaining: 18.4s
Stopped by overfitting detector  (20 iterations wait)
bestTest = 0.8037456856
bestIteration = 272
Shrink model to first 273 iterations.
