254:	test: 0.9265820	best: 0.9265820 (254)	total: 990ms	remaining: 2.89s
255:	test: 0.9265899	best: 0.9265899 (255)	total: 993ms	remaining: 2.88s
256:	test: 0.9265899	best: 0.9265899 (256)	total: 996ms	remaining: 2.88s
257:	test: 0.9265901	best: 0.9265901 (257)	total: 1000ms	remaining: 2.87s
258:	test: 0.9265903	best: 0.9265903 (258)	total: 1s	remaining: 2.87s
259:	test: 0.9265854	best: 0.9265903 (258)	total: 1s	remaining: 2.86s
260:	test: 0.9265862	best: 0.9265903 (258)	total: 1.01s	remaining: 2.86s
261:	test: 0.9265862	best: 0.9265903 (258)	total: 1.01s	remaining: 2.85s
262:	test: 0.9265866	best: 0.9265903 (258)	total: 1.01s	remaining: 2.84s
263:	test: 0.9265870	best: 0.9265903 (258)	total: 1.02s	remaining: 2.84s
264:	test: 0.9265874	best: 0.9265903 (258)	total: 1.02s	remaining: 2.83s
265:	test: 0.9265866	best: 0.9265903 (258)	total: 1.02s	remaining: 2.83s
266:	test: 0.9265872	best: 0.9265903 (258)	total: 1.03s	remaining: 2.82s
267:	test: 0.9265876	best: 0.9265903 (258)	total: 1.03s	remaining: 2.82s
268:	test: 0.9265883	best: 0.9265903 (258)	total: 1.03s	remaining: 2.81s
269:	test: 0.9265885	best: 0.9265903 (258)	total: 1.04s	remaining: 2.8s
270:	test: 0.9266004	best: 0.9266004 (270)	total: 1.04s	remaining: 2.8s
271:	test: 0.9266012	best: 0.9266012 (271)	total: 1.04s	remaining: 2.79s
272:	test: 0.9266019	best: 0.9266019 (272)	total: 1.05s	remaining: 2.79s
273:	test: 0.9266019	best: 0.9266019 (272)	total: 1.05s	remaining: 2.78s
274:	test: 0.9266022	best: 0.9266022 (274)	total: 1.05s	remaining: 2.78s
275:	test: 0.9266027	best: 0.9266027 (275)	total: 1.06s	remaining: 2.77s
276:	test: 0.9266028	best: 0.9266028 (276)	total: 1.06s	remaining: 2.77s
277:	test: 0.9265981	best: 0.9266028 (276)	total: 1.06s	remaining: 2.76s
278:	test: 0.9265985	best: 0.9266028 (276)	total: 1.07s	remaining: 2.76s
279:	test: 0.9266141	best: 0.9266141 (279)	total: 1.07s	remaining: 2.75s
280:	test: 0.9266143	best: 0.9266143 (280)	total: 1.07s	remaining: 2.75s
281:	test: 0.9266144	best: 0.9266144 (281)	total: 1.08s	remaining: 2.74s
282:	test: 0.9266144	best: 0.9266144 (282)	total: 1.08s	remaining: 2.73s
283:	test: 0.9266148	best: 0.9266148 (283)	total: 1.08s	remaining: 2.73s
284:	test: 0.9266151	best: 0.9266151 (284)	total: 1.09s	remaining: 2.73s
285:	test: 0.9266156	best: 0.9266156 (285)	total: 1.09s	remaining: 2.72s
286:	test: 0.9266190	best: 0.9266190 (286)	total: 1.09s	remaining: 2.71s
287:	test: 0.9266218	best: 0.9266218 (287)	total: 1.09s	remaining: 2.71s
288:	test: 0.9266219	best: 0.9266219 (288)	total: 1.1s	remaining: 2.7s
289:	test: 0.9266220	best: 0.9266220 (289)	total: 1.1s	remaining: 2.7s
290:	test: 0.9266221	best: 0.9266221 (290)	total: 1.1s	remaining: 2.69s
291:	test: 0.9266224	best: 0.9266224 (291)	total: 1.11s	remaining: 2.69s
292:	test: 0.9266224	best: 0.9266224 (292)	total: 1.11s	remaining: 2.68s
293:	test: 0.9266224	best: 0.9266224 (293)	total: 1.11s	remaining: 2.67s
294:	test: 0.9266407	best: 0.9266407 (294)	total: 1.12s	remaining: 2.67s
295:	test: 0.9266410	best: 0.9266410 (295)	total: 1.12s	remaining: 2.67s
296:	test: 0.9266414	best: 0.9266414 (296)	total: 1.12s	remaining: 2.66s
297:	test: 0.9266414	best: 0.9266414 (297)	total: 1.13s	remaining: 2.65s
298:	test: 0.9266470	best: 0.9266470 (298)	total: 1.13s	remaining: 2.65s
299:	test: 0.9266473	best: 0.9266473 (299)	total: 1.13s	remaining: 2.65s
300:	test: 0.9266478	best: 0.9266478 (300)	total: 1.14s	remaining: 2.64s
301:	test: 0.9266478	best: 0.9266478 (300)	total: 1.14s	remaining: 2.64s
302:	test: 0.9266609	best: 0.9266609 (302)	total: 1.14s	remaining: 2.63s
303:	test: 0.9266594	best: 0.9266609 (302)	total: 1.15s	remaining: 2.63s
304:	test: 0.9266600	best: 0.9266609 (302)	total: 1.15s	remaining: 2.62s
305:	test: 0.9266607	best: 0.9266609 (302)	total: 1.15s	remaining: 2.62s
306:	test: 0.9266610	best: 0.9266610 (306)	total: 1.16s	remaining: 2.61s
307:	test: 0.9266570	best: 0.9266610 (306)	total: 1.16s	remaining: 2.61s
308:	test: 0.9266571	best: 0.9266610 (306)	total: 1.16s	remaining: 2.6s
309:	test: 0.9266572	best: 0.9266610 (306)	total: 1.17s	remaining: 2.6s
310:	test: 0.9266575	best: 0.9266610 (306)	total: 1.17s	remaining: 2.59s
311:	test: 0.9266576	best: 0.9266610 (306)	total: 1.17s	remaining: 2.58s
312:	test: 0.9266580	best: 0.9266610 (306)	total: 1.18s	remaining: 2.58s
313:	test: 0.9266585	best: 0.9266610 (306)	total: 1.18s	remaining: 2.58s
314:	test: 0.9266585	best: 0.9266610 (306)	total: 1.18s	remaining: 2.57s
315:	test: 0.9266586	best: 0.9266610 (306)	total: 1.18s	remaining: 2.56s
316:	test: 0.9266588	best: 0.9266610 (306)	total: 1.19s	remaining: 2.56s
317:	test: 0.9266614	best: 0.9266614 (317)	total: 1.19s	remaining: 2.55s
318:	test: 0.9266616	best: 0.9266616 (318)	total: 1.19s	remaining: 2.55s
319:	test: 0.9266652	best: 0.9266652 (319)	total: 1.2s	remaining: 2.54s
320:	test: 0.9266655	best: 0.9266655 (320)	total: 1.2s	remaining: 2.54s
321:	test: 0.9266659	best: 0.9266659 (321)	total: 1.2s	remaining: 2.53s
322:	test: 0.9266661	best: 0.9266661 (322)	total: 1.21s	remaining: 2.53s
323:	test: 0.9266666	best: 0.9266666 (323)	total: 1.21s	remaining: 2.53s
324:	test: 0.9266672	best: 0.9266672 (324)	total: 1.21s	remaining: 2.52s
325:	test: 0.9266672	best: 0.9266672 (325)	total: 1.22s	remaining: 2.52s
326:	test: 0.9266676	best: 0.9266676 (326)	total: 1.22s	remaining: 2.51s
327:	test: 0.9266679	best: 0.9266679 (327)	total: 1.22s	remaining: 2.51s
328:	test: 0.9266722	best: 0.9266722 (328)	total: 1.23s	remaining: 2.5s
329:	test: 0.9266728	best: 0.9266728 (329)	total: 1.23s	remaining: 2.5s
330:	test: 0.9266839	best: 0.9266839 (330)	total: 1.23s	remaining: 2.49s
