256:	test: 0.9493393	best: 0.9493393 (256)	total: 1.31s	remaining: 3.8s
257:	test: 0.9493393	best: 0.9493393 (256)	total: 1.32s	remaining: 3.79s
258:	test: 0.9493467	best: 0.9493467 (258)	total: 1.32s	remaining: 3.78s
[34m[1mwandb[39m[22m: Adding directory to artifact (./artifacts)... Done. 0.1s
259:	test: 0.9493530	best: 0.9493530 (259)	total: 1.33s	remaining: 3.78s
260:	test: 0.9493530	best: 0.9493530 (260)	total: 1.33s	remaining: 3.76s
261:	test: 0.9493530	best: 0.9493530 (260)	total: 1.33s	remaining: 3.75s
262:	test: 0.9493531	best: 0.9493531 (262)	total: 1.34s	remaining: 3.74s
263:	test: 0.9493572	best: 0.9493572 (263)	total: 1.34s	remaining: 3.74s
264:	test: 0.9493572	best: 0.9493572 (263)	total: 1.34s	remaining: 3.73s
265:	test: 0.9493663	best: 0.9493663 (265)	total: 1.35s	remaining: 3.72s
266:	test: 0.9493663	best: 0.9493663 (265)	total: 1.35s	remaining: 3.72s
267:	test: 0.9493663	best: 0.9493663 (265)	total: 1.36s	remaining: 3.71s
268:	test: 0.9493663	best: 0.9493663 (265)	total: 1.36s	remaining: 3.7s
269:	test: 0.9493663	best: 0.9493663 (265)	total: 1.36s	remaining: 3.69s
270:	test: 0.9493664	best: 0.9493664 (270)	total: 1.37s	remaining: 3.68s
271:	test: 0.9493664	best: 0.9493664 (271)	total: 1.37s	remaining: 3.67s
272:	test: 0.9493666	best: 0.9493666 (272)	total: 1.38s	remaining: 3.66s
273:	test: 0.9493809	best: 0.9493809 (273)	total: 1.38s	remaining: 3.66s
274:	test: 0.9493782	best: 0.9493809 (273)	total: 1.39s	remaining: 3.65s
275:	test: 0.9493782	best: 0.9493809 (273)	total: 1.39s	remaining: 3.64s
276:	test: 0.9493809	best: 0.9493809 (273)	total: 1.39s	remaining: 3.64s
277:	test: 0.9493807	best: 0.9493809 (273)	total: 1.4s	remaining: 3.63s
278:	test: 0.9493811	best: 0.9493811 (278)	total: 1.4s	remaining: 3.62s
279:	test: 0.9493811	best: 0.9493811 (279)	total: 1.41s	remaining: 3.62s
280:	test: 0.9493826	best: 0.9493826 (280)	total: 1.41s	remaining: 3.61s
281:	test: 0.9493838	best: 0.9493838 (281)	total: 1.41s	remaining: 3.6s
282:	test: 0.9493873	best: 0.9493873 (282)	total: 1.42s	remaining: 3.59s
283:	test: 0.9493873	best: 0.9493873 (283)	total: 1.42s	remaining: 3.58s
284:	test: 0.9493884	best: 0.9493884 (284)	total: 1.43s	remaining: 3.58s
285:	test: 0.9493885	best: 0.9493885 (285)	total: 1.43s	remaining: 3.57s
286:	test: 0.9493885	best: 0.9493885 (285)	total: 1.43s	remaining: 3.56s
287:	test: 0.9493885	best: 0.9493885 (285)	total: 1.44s	remaining: 3.55s
288:	test: 0.9493884	best: 0.9493885 (285)	total: 1.44s	remaining: 3.54s
289:	test: 0.9493884	best: 0.9493885 (285)	total: 1.44s	remaining: 3.53s
290:	test: 0.9493884	best: 0.9493885 (285)	total: 1.45s	remaining: 3.52s
291:	test: 0.9493884	best: 0.9493885 (285)	total: 1.45s	remaining: 3.52s
292:	test: 0.9493851	best: 0.9493885 (285)	total: 1.45s	remaining: 3.51s
293:	test: 0.9493851	best: 0.9493885 (285)	total: 1.46s	remaining: 3.5s
294:	test: 0.9493852	best: 0.9493885 (285)	total: 1.46s	remaining: 3.5s
295:	test: 0.9493852	best: 0.9493885 (285)	total: 1.47s	remaining: 3.49s
296:	test: 0.9493852	best: 0.9493885 (285)	total: 1.47s	remaining: 3.48s
297:	test: 0.9493852	best: 0.9493885 (285)	total: 1.47s	remaining: 3.47s
298:	test: 0.9493850	best: 0.9493885 (285)	total: 1.48s	remaining: 3.47s
299:	test: 0.9493850	best: 0.9493885 (285)	total: 1.48s	remaining: 3.46s
300:	test: 0.9493850	best: 0.9493885 (285)	total: 1.49s	remaining: 3.45s
301:	test: 0.9493850	best: 0.9493885 (285)	total: 1.49s	remaining: 3.44s
302:	test: 0.9493850	best: 0.9493885 (285)	total: 1.49s	remaining: 3.43s
303:	test: 0.9493850	best: 0.9493885 (285)	total: 1.5s	remaining: 3.43s
304:	test: 0.9493851	best: 0.9493885 (285)	total: 1.5s	remaining: 3.42s
305:	test: 0.9493852	best: 0.9493885 (285)	total: 1.5s	remaining: 3.41s
Stopped by overfitting detector  (20 iterations wait)
bestTest = 0.9493885114
bestIteration = 285
Shrink model to first 286 iterations.
